Rank	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS	FTPER	FGPER	THRPER	YEAR	CONF	SCHRANK
0	3.4	5.4	8.8	2.1	1.2	1.5	1.3	2.3	10.4	68.57142857	51.35135135	50	2	8	1
0	2.4	4.6	7	1.8	1.1	0.6	1.6	2.4	11.4	50	59.52380952	0	1	9	1
0	2.7	4.2	6.9	1.5	0.9	0.4	1.6	2	11.8	69.56521739	55.84415584	0	3	9	1
0	1.9	4.1	6	0.6	0.7	0.4	2	3.7	11	72.72727273	48.71794872	33.33333333	2	9	1
0	3.1	6.1	9.1	2	0.7	1.3	1.9	2.4	11.7	77.77777778	44.55445545	0	4	9	1
0	3	6.3	9.3	1	0.6	0.8	1.9	2.8	9.9	54.54545455	56.94444444	0	2	6	1
0	1.6	5.3	6.9	0.9	0.7	0.9	1.8	2.8	11.2	69.6969697	45.45454545	30	4	9	1
0	1.9	4.8	6.7	0.7	0.9	0.8	1.7	3.2	10.1	78.94736842	49.23076923	40	4	9	1
0	3.2	5.9	9.1	0.3	0.7	1.1	2.2	2.8	11.1	63.15789474	48.31460674	0	3	9	1
0	2	4.3	6.4	0.9	0.8	0.7	1.2	2.8	9.5	65	57.37704918	0	2	9	1
0	2	4.4	6.4	1.5	1.3	0.3	1.6	3	11.7	53.33333333	51.61290323	35.71428571	2	4	1
0	2	4.5	6.5	0.7	0.7	0.6	1.6	3.1	9.6	67.74193548	52.11267606	50	3	6	1
