Rank	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS	FTPER	FGPER	THRPER	YEAR	CONF	SCHRANK
0	3.1	5.4	8.5	1.1	0.3	0.9	2.3	2.8	10.1	51.11111111	50.64935065	0	3	9	1
0	1.4	5.3	6.7	1	0.8	0.4	1.8	2.6	9.5	69.6969697	50.70422535	0	4	9	1
0	1.8	5	6.8	0.8	0.7	1.6	1.4	3.4	9.1	69.76744186	40.54054054	0	1	5	1
0	2.2	4	6.3	0.5	0.6	1	1.5	2.6	8.8	60.86956522	45.67901235	0	4	9	1
0	1.6	6	7.7	1.5	0.7	1.7	1.6	2.5	7.4	46.15384615	50	0	4	9	1
0	2.4	4.5	6.9	0.4	0.7	0.8	1.3	2.7	7.9	37.93103448	50.74626866	14.28571429	4	9	1
0	3.4	5.4	8.8	0.6	0.4	0.6	1.3	2.6	6.2	69.44444444	47.36842105	0	4	9	1
0	2.1	4.5	6.6	0.9	0.5	1.9	1	2.8	5	57.89473684	51.28205128	0	3	4	1
0	2.3	5	7.4	1.9	0.3	1.4	2.4	2.9	6.9	39.28571429	45.3125	0	4	9	1
0	2.3	4.5	6.8	0.6	0.3	0.3	1.2	2.7	4.4	71.42857143	42.5	0	4	9	1
0	2.2	4	6.2	0.1	0.2	1	0.3	2.4	3	61.53846154	50	0	3	9	1
34	2.9	8.2	11.1	2.3	0.5	2.4	1.7	2.2	18.7	79.10447761	51.14503817	20	4	9	1
0	3.3	6	9.4	1.2	0.5	1.3	2	2.9	15.5	75	50.94339623	20	4	9	1
0	3.3	6.4	9.7	1.8	0.3	1.2	1.9	2.3	17.1	79.10447761	59	0	4	9	1
44	2.1	6.4	8.5	0.9	0.8	3.9	2	2.1	13.7	71.15384615	58.13953488	0	4	5	3
16	3.3	6.4	9.8	1.3	0.6	0.7	2	2.6	14.2	58.73015873	59.09090909	0	4	7	1
0	1.7	4.7	6.3	1	0.4	0.4	2.2	2.4	15.7	67.74193548	53.33333333	35	4	9	1
0	3.1	4.5	7.6	1.6	1.3	0.6	2.2	2.4	15.6	75	57.27272727	0	4	9	1
0	2.2	5.9	8.1	0.9	0.4	1	2.3	2.6	13.8	76.31578947	48.62385321	40	4	9	1
96	3	4.5	7.5	0.8	0.6	1.1	1.9	2.3	13.1	62.22222222	54.25531915	25	4	1	1
0	3.4	5	8.4	0.8	0.4	1	2	2.2	13	59.45945946	43.69747899	30.76923077	4	9	1
0	1.9	3.2	5	1	0.3	1.1	1.9	2.7	13.7	66.66666667	58.7628866	0	3	9	1
0	2	3	5	2.6	1.2	0.7	2.1	3.2	13.3	72.09302326	40.86956522	31.03448276	4	9	1
112	2.9	5	7.8	1	0.2	2.1	1.6	2.7	11.9	70	54.11764706	0	2	1	1
0	2.5	4.5	7	0.8	0.6	3.7	1.4	2.7	13	63.15789474	64.78873239	100	4	9	1
0	2.5	4.4	6.9	0.9	0.6	2.1	1	1.5	11	70	46.59090909	25	4	4	1
0	2.7	6.9	9.6	1.6	1	2.5	1.9	3	12.7	43.90243902	56.84210526	0	4	9	1
80	3.4	6	9.4	2	1.3	2.5	1.8	2.6	9.8	64.70588235	53.52112676	0	3	6	1
0	2.6	3.7	6.3	0.3	0.4	2.2	1.2	2.1	8.2	50	63.46153846	0	2	9	1
98	2.8	3.5	6.3	0.6	0.7	2	1.1	1.6	7.2	45.45454545	56.36363636	0	1	6	1
0	2.1	2.6	4.7	0.2	0.2	2.6	0.9	3.4	5.1	69.56521739	45.94594595	0	4	6	1
0	0.5	3.8	4.3	0.3	0.3	2.1	1.4	2	5.8	68.75	56.09756098	0	2	9	1
0	2.2	2.9	5.1	0.5	0.5	2.2	1	2.2	6.9	50	51.72413793	0	4	9	1
0	1.7	3.1	4.9	0.5	0.4	2.3	1	2.5	4.8	53.33333333	52.63157895	0	4	9	1
0	0.7	2.2	2.9	0.1	0.3	2	0.6	2.5	4.5	50	70	0	2	9	1
0	1.6	5.2	6.8	0.8	0.4	1.3	1.8	2.4	12.9	67.64705882	47.47474747	35.13513514	4	1	1
0	1.9	4.1	6.1	1.4	0.6	0.5	1.2	2.9	11.3	70.21276596	49.33333333	31.25	4	9	1
0	2	4.8	6.8	0.7	0.3	1.5	1.6	1.8	11.9	85.71428571	54.34782609	100	4	2	1
0	1.6	4.5	6.1	1.9	0.7	0.9	2.7	3.2	12.3	68.18181818	56.09756098	0	3	9	1
0	2.2	4.4	6.6	1.6	1.1	0.1	1.5	1.9	9.9	69.23076923	50.70422535	0	4	4	2
0	2.4	4.1	6.4	3.4	1.1	0.3	2.5	2.1	11	55.55555556	49.47368421	0	4	2	1
0	2.3	4.4	6.6	0.4	0.6	1.7	1.3	2.6	9.7	64.51612903	65.51724138	0	4	9	1
0	2.6	5.2	7.8	1	0.4	0.5	2.4	3	11.5	70	53.08641975	0	1	9	1
0	2.7	5.1	7.8	0.9	0.6	0.6	1.6	2.2	9.9	77.77777778	48.64864865	0	4	6	1
0	3.3	5.8	9.1	0.3	0.5	1.2	1.7	2.2	8.9	44.44444444	56.06060606	0	4	2	2
0	2.7	3.6	6.3	1.1	0.4	0.3	1.8	2.8	9.3	46.15384615	56.94444444	0	4	9	1
0	1.9	4.3	6.2	1.6	1.1	1.8	2.4	3.3	9.3	67.85714286	50	40	2	9	1
0	2.3	4.2	6.6	0.8	0.5	1.2	2.1	3	8.8	66.66666667	48	0	4	3	1
0	1.9	4.4	6.3	0.9	0.8	1.4	1.2	2.6	9.1	60	53.52112676	0	3	9	1
0	2.9	4.4	7.3	0.3	0.3	1.2	1.3	2.5	6.9	52.38095238	52.72727273	0	5	9	1
0	2.3	3.7	6	0.5	0.4	1.1	1.1	2.9	5.9	55	47.05882353	0	2	9	1
0	2.4	4.9	7.3	0.1	0.4	1.7	0.9	2.9	6.5	65.38461538	50	0	4	9	1
0	2.2	4.8	7	0.9	0.8	1.8	1.4	1.8	6.2	75	48.88888889	33.33333333	3	9	1
0	3	4.3	7.3	0.6	0.7	1.9	1.4	2.5	5.7	51.28205128	46.15384615	0	4	9	1
0	2.2	4.8	7	0.8	0.4	0.9	2.2	2.2	6.7	69.6969697	37.93103448	0	4	1	1
0	2.5	6.7	9.2	1.3	1	0.9	2.3	3.2	19.4	70	50.96774194	29.16666667	4	9	1
24	3.2	7.2	10.3	1.4	0.7	2.7	2.6	3.3	15.9	69.35483871	57.57575758	22.22222222	4	9	1
0	2.7	6.1	8.8	1.8	1.1	0.4	2.9	3.3	16.9	65.11627907	53.84615385	25	4	9	1
0	2.5	5.1	7.6	1.2	1.2	1.2	3.1	3.2	15.8	78.84615385	51.37614679	29.41176471	3	9	1
0	2.6	4.7	7.4	1.6	1.6	0.8	2.5	3.1	13.1	73.80952381	39.47368421	30.55555556	4	9	1
100	2.3	5.9	8.2	1.3	0.5	1.9	2.1	2.9	13.6	72.5	58.24175824	0	2	4	1
