Player,Class,Season,Pos,School,Conf,G,MP,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FTPER,FGPER,3PPER
Jawan Carter\jawan-carter-1,SR,2010-11,G,Delaware,CAA,31,35.6,0.6,3.1,3.7,2.4,0.9,0,2.1,2.4,16,83.63636364,38.05309735,38.02816901
Quinn McDowell\quinn-mcdowell-1,JR,2010-11,G-F,William & Mary,CAA,32,33.7,0.8,4.7,5.4,2.1,0.5,0.1,1.5,2,15.5,85.71428571,47.05882353,45.83333333
Josh Slater\josh-slater-1,SR,2010-11,G,Lipscomb,A-Sun,30,31.1,1.9,4.2,6.1,4.6,3.1,0.2,3.1,2.9,16.5,71.62162162,42.73504274,28.20512821
Chad Gray\chad-gray-1,SR,2010-11,F,Coastal Carolina,Big South,34,28.9,2.6,3.8,6.3,1.4,1,1.2,2,2.2,14.6,65.71428571,49.57983193,29.41176471
Micah Williams\micah-williams-1,SR,2010-11,G,East Tennessee State,A-Sun,35,34.5,1.1,3,4.1,1.3,0.9,0.2,1.8,1.9,14.1,75,41.22807018,36.95652174
Trey Thompkins\trey-thompkins-1,JR,2010-11,F,Georgia,SEC,30,31.2,1.9,5.8,7.6,1.4,1.1,1.7,2.5,2.2,16.4,67.5,48.50746269,32
Ravern Johnson\ravern-johnson-1,SR,2010-11,G,Mississippi State,SEC,28,34.9,0.8,2.8,3.6,0.8,0.4,0.5,1.3,1,17.6,76.92307692,42.96296296,40.54054054
Anthony Hill\anthony-hill-2,SR,2010-11,F,Milwaukee,Horizon,32,28.1,2.8,3.8,6.6,1.4,0.4,0.6,2.4,3.4,15.3,70.3125,52.94117647,0
Robo Kreps\robo-kreps-1,SR,2010-11,G,Illinois-Chicago,Horizon,31,38.4,0.5,3.7,4.2,2.9,1.4,0.1,2.5,1.6,15.7,79.41176471,41.86046512,35.9375
Ricky Cadell\ricky-cadell-1,SR,2010-11,G,St. Francis (NY),NEC,30,31.3,0.8,2.9,3.7,1.8,1.1,0,2.5,2.3,16.2,77.08333333,38.34586466,32.8358209
Chaisson Allen\chaisson-allen-1,SR,2010-11,G,Northeastern,CAA,29,37.1,1.4,4.7,6.1,3.7,2.1,0.1,1.9,1.9,16.7,70.37037037,41.86046512,37.5
Zach Graham\zach-graham-1,SR,2010-11,G,Mississippi,SEC,34,30.5,1.4,3.1,4.5,1.5,0.8,0.5,1.5,1.4,14.2,88.88888889,42.47787611,33.33333333
Mychel Thompson\mychel-thompson-1,SR,2010-11,F,Pepperdine,WCC,33,32.2,1.6,4.2,5.9,1.9,1.1,1,1.8,1.9,14.6,78.37837838,36.42857143,30.18867925
Desmond Holloway\desmond-holloway-1,JR,2010-11,G,Coastal Carolina,Big South,26,32,1.6,5.3,6.9,1.7,1.3,0.3,2.4,2.2,18.5,76.11940299,50,34.61538462
