Rk,Player,Class,Season,Pos,School,Conf,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FTPER,FGPER,3PPER
131,Tai Webster\tai-webster-1,SR,2016-17,G,Nebraska,Big Ten,35.2,6.2,14.4,4.9,10,1.3,4.4,4.1,5.5,1,3.9,4.8,4.2,1.3,0.2,3.1,2.4,17.8,74.54545455,43.05555556,29.54545455
132,Jacorey Williams\jacorey-williams-1,SR,2016-17,F,Middle Tennessee,CUSA,30,7.2,13.7,7.2,13.2,0.1,0.5,2.5,3.7,2,5.5,7.5,1.8,0.9,0.6,1.7,1.9,17.1,67.56756757,52.55474453,20
133,Tyler Cavanaugh\tyler-cavanaugh-1,SR,2016-17,F,George Washington,A-10,31.4,5.2,12.9,3.5,8.2,1.7,4.7,4.9,5.7,2.5,5.3,7.9,2.2,0.5,0.4,2.7,2.7,17,85.96491228,40.31007752,36.17021277
134,Zach Thomas\zach-thomas-1,JR,2016-17,F,Bucknell,Patriot,29.6,5,10.3,3.4,6.7,1.6,3.6,4.3,5.2,1,5.6,6.6,3.2,1.1,0.5,3,2.3,15.8,82.69230769,48.54368932,44.44444444
135,Khadeen Carrington\khadeen-carrington-1,JR,2016-17,G,Seton Hall,Big East,32.9,6.1,13.7,4.2,8.7,1.9,5,3.6,5.2,0.5,2.6,3.1,3,1.1,0.3,2.3,2,17.6,69.23076923,44.52554745,38
136,Aleksa Jugovic\aleksa-jugovic-1,JR,2016-17,G,Tennessee Tech,OVC,35,4.9,11.9,2.3,4.6,2.6,7.2,3.3,3.6,0.4,2.1,2.5,2.2,0.9,0.2,1.9,1.6,15.8,91.66666667,41.17647059,36.11111111
137,Derrick White\derrick-white-1,SR,2016-17,G,Colorado,Pac-12,32,5.7,11.3,4.2,7.6,1.4,3.7,4.2,5.1,1.2,2.8,4,4.2,1.2,1.3,2.5,2.2,17,82.35294118,50.44247788,37.83783784
138,Bakari Copeland\bakari-copeland-1,SR,2016-17,F,Maryland-Eastern Shore,MEAC,29,5.7,12.3,4.6,9.7,1.1,2.7,4.3,5.6,1.3,5,6.3,1.7,0.6,0.2,2.4,2.6,16.9,76.78571429,46.34146341,40.74074074
139,Brenton Scott\brenton-scott-1,JR,2016-17,G,Indiana State,MVC,31.8,5.5,14.3,3.1,7.7,2.4,6.6,2.9,4.4,0.3,4.9,5.2,2.1,1.7,0.2,1.9,2,16.3,65.90909091,38.46153846,36.36363636
140,Milton Doyle\milton-doyle-1,SR,2016-17,G,Loyola (IL),MVC,32.2,5.4,11.6,4.1,8.1,1.3,3.5,3.6,4.4,0.6,4.3,4.8,4.4,1.6,0.7,3,2.5,15.6,81.81818182,46.55172414,37.14285714
141,Christian Keeling\christian-keeling-1,FR,2016-17,G,Charleston Southern,Big South,30.5,5.8,12.8,4.9,10.3,0.8,2.5,4.5,5.7,1.2,5.3,6.5,1.3,0.7,0.3,1.8,1.7,16.8,78.94736842,45.3125,32
142,Malcolm Hill\malcolm-hill-1,SR,2016-17,G,Illinois,Big Ten,32.5,5.3,12.2,3.7,7.4,1.6,4.7,4.6,5.8,1,4.6,5.6,2.8,1,0.4,2.1,2.1,16.8,79.31034483,43.44262295,34.04255319
143,Marcus Tyus\marcus-tyus-1,SR,2016-17,G,Nebraska-Omaha,Summit,27.5,5.2,10.8,2.8,5.7,2.3,5.2,4.2,5.1,0.6,2.2,2.7,1.6,1.7,0.1,2.4,2.7,16.8,82.35294118,48.14814815,44.23076923
144,Michael Weathers\michael-weathers-1,FR,2016-17,G,Miami (OH),MAC,28,5.5,12.7,4.7,9.8,0.7,2.9,5.1,6.4,0.8,3.4,4.2,5,1.8,1.5,4.6,3.3,16.8,79.6875,43.30708661,24.13793103
145,Blake Hamilton\blake-hamilton-2,SR,2016-17,F,Buffalo,MAC,30.1,5.6,13.5,3.9,8.6,1.7,4.9,3.7,4.8,0.8,5.6,6.4,4.4,0.9,0.5,3.4,2.9,16.7,77.08333333,41.48148148,34.69387755
